iter	Logloss
0	0.6840744321
1	0.6731710653
2	0.6640281344
3	0.6557351944
4	0.6470054729
5	0.6383293811
6	0.6313075792
7	0.6235091159
8	0.6169029435
9	0.609440827
10	0.6018501058
11	0.5954525953
12	0.5890539231
13	0.5835574677
14	0.5768518289
15	0.5717247306
16	0.5658224228
17	0.5598290222
18	0.5543049291
19	0.5485803058
20	0.5436741151
21	0.538504326
22	0.5338245607
23	0.5300261991
24	0.525533363
25	0.5206060689
26	0.5170138039
27	0.5140174666
28	0.5096333902
29	0.506027621
30	0.5031515147
31	0.5005461703
32	0.4968037133
33	0.4931699676
34	0.4894874809
35	0.4872494122
36	0.4844138186
37	0.4807781368
38	0.4769043162
39	0.474734059
40	0.4720259567
41	0.4695679969
42	0.4671005503
43	0.4644754578
44	0.4620736929
45	0.4594471967
46	0.4573184686
47	0.4550011171
48	0.4528227768
49	0.4500858268
50	0.4475275292
51	0.4457200464
52	0.4433868674
53	0.4412858738
54	0.4387408384
55	0.4367127869
56	0.4347636308
57	0.4327290934
58	0.4312930005
59	0.4292394894
60	0.4278923113
61	0.4259951877
62	0.4241459338
63	0.4224597952
64	0.4212742321
65	0.4194888206
66	0.4178411618
67	0.4160540563
68	0.4144487494
69	0.4130763539
70	0.4116368729
71	0.4102201893
72	0.408637099
73	0.406608273
74	0.4047501857
75	0.4034438833
76	0.4020070402
77	0.4005987302
78	0.3990094686
79	0.3976798122
80	0.3967982632
81	0.3959110027
82	0.3940572958
83	0.3926088362
84	0.3913766859
85	0.3899252254
86	0.3888155327
87	0.3873260764
88	0.3862089298
89	0.3848434073
90	0.3836538026
91	0.3825971103
92	0.3814040206
93	0.3803708517
94	0.3792240103
95	0.3780559688
96	0.3767466171
97	0.3756968947
98	0.3744168989
99	0.373317782
100	0.3720610193
101	0.3709979621
102	0.3698562997
103	0.3686368793
104	0.367905014
105	0.3668839941
106	0.365864281
107	0.364649362
108	0.363833761
109	0.3631539038
110	0.3618918169
111	0.360898241
112	0.3600200559
113	0.3589889442
114	0.3577397564
115	0.3567743506
116	0.3558965527
117	0.3548020583
118	0.3534490962
119	0.3526355281
120	0.3519657144
121	0.3512688197
122	0.3504638914
123	0.349622613
124	0.3486939445
125	0.3477978264
126	0.3470828777
127	0.3461112764
128	0.3452797511
129	0.3443684589
130	0.3436723629
131	0.34301419
132	0.3422489514
133	0.3413110623
134	0.3404375722
135	0.3397503338
136	0.3387820481
137	0.3378781856
138	0.3369082542
139	0.3363276216
140	0.3358015867
141	0.3351712934
142	0.3345773502
143	0.3338412013
144	0.3330306825
145	0.3323859412
146	0.3317639731
147	0.3309051489
148	0.3300211072
149	0.3293561822
150	0.3287319634
151	0.3279078678
152	0.3273355846
153	0.326654711
154	0.3259070666
155	0.3251369395
156	0.3243677803
157	0.3235712982
158	0.3228331406
159	0.3221227417
160	0.3216254093
161	0.3211510195
162	0.3204158871
163	0.3194771267
164	0.3190083999
165	0.3183431603
166	0.3177366325
167	0.3170518626
168	0.3164391635
169	0.3157949788
170	0.3152153384
171	0.3146471452
172	0.3140565901
173	0.3136389518
174	0.3130991707
175	0.3123799626
176	0.3118868169
177	0.3113338461
178	0.3107110068
179	0.3100705491
180	0.309541005
181	0.3089086062
182	0.3082620256
183	0.3075548697
184	0.3070819561
185	0.306490675
186	0.3058590749
187	0.3052069765
188	0.3046584103
189	0.3040802946
190	0.3036602604
191	0.30316317
192	0.3026443953
193	0.302025767
194	0.3013365683
195	0.3006558157
196	0.3002934044
197	0.2998190145
198	0.2994744878
199	0.2989972664
200	0.298664453
201	0.2980924602
202	0.2975297848
203	0.2970605256
204	0.2964799898
205	0.2959597389
206	0.2955616067
207	0.2950520769
208	0.2946079142
209	0.2941592018
210	0.293730794
211	0.2932767815
212	0.2929010353
213	0.2924624873
214	0.2920079424
215	0.2913743336
216	0.2909299047
217	0.2906184367
218	0.2901493711
219	0.2897521343
220	0.2893657397
221	0.2887710704
222	0.2883702519
223	0.2879616649
224	0.2874701891
225	0.2868727851
226	0.2865755231
227	0.2861261572
228	0.2854645477
229	0.2849563248
230	0.28449193
231	0.2841283328
232	0.2837123644
233	0.2831619347
234	0.2826828499
235	0.282281983
236	0.2817110792
237	0.2811679583
238	0.2807351702
239	0.2804682563
240	0.2801644358
241	0.2797857129
242	0.2794125562
243	0.2790923516
244	0.2785649855
245	0.2781507112
246	0.27782707
247	0.2773576898
248	0.2770388646
249	0.2766643043
250	0.2763273525
251	0.2759725887
252	0.2757029885
253	0.2753631084
254	0.27488216
255	0.2744199434
256	0.2740375661
257	0.2737887547
258	0.2734812556
259	0.2730256458
260	0.2727460748
261	0.272392884
262	0.2719880965
263	0.2713701942
264	0.2708809934
265	0.2705215587
266	0.270143344
267	0.2696140903
268	0.2692222746
269	0.2688464317
270	0.268383126
271	0.267896805
272	0.2675269881
273	0.2671809367
274	0.2667121131
275	0.2661803667
276	0.2658557816
277	0.2654136035
278	0.2650092758
279	0.2645719862
280	0.2642664959
281	0.2639520269
282	0.26356176
283	0.2632869566
284	0.262900441
285	0.2625869642
286	0.262161509
287	0.2617789865
288	0.2614083226
289	0.2610947006
290	0.2607844426
291	0.2603943694
292	0.2601385154
293	0.2598511033
294	0.2594475742
295	0.2591279504
296	0.2587848999
297	0.2584171159
298	0.2580875696
299	0.2577010056
300	0.2573392234
301	0.2569824993
302	0.2565520345
303	0.256183476
304	0.2558123523
305	0.2554507637
306	0.2550860775
307	0.2548575708
308	0.2545381889
309	0.2542083522
310	0.2539433503
311	0.2535521396
312	0.2533205352
313	0.253099676
314	0.2526860793
315	0.2523763053
316	0.2519612082
317	0.2517324594
318	0.2515328004
319	0.2512384425
320	0.2510007878
321	0.2506921755
322	0.250336734
323	0.2499489841
324	0.249583475
325	0.2492762905
326	0.2489584576
327	0.2485916416
328	0.2483455891
329	0.2480042811
330	0.2477390371
331	0.2473274733
332	0.2468865294
333	0.2465250861
334	0.2462196925
335	0.2458938006
336	0.2455805416
337	0.2452843686
338	0.2448604381
339	0.2446177253
340	0.2442172941
341	0.2438516397
342	0.2435541357
343	0.2432923767
344	0.242944728
345	0.2426068081
346	0.2423791727
347	0.2420164467
348	0.241766038
349	0.2415819645
350	0.2413457376
351	0.2410121497
352	0.2405512883
353	0.2401630302
354	0.2398615814
355	0.2395088746
356	0.2390609366
357	0.2387301803
358	0.2384622742
359	0.2380637306
360	0.237714654
